id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
295240,Luxury Apartment Oasis w/ Hot Tub  ,1525192,Kristoffer,,Castro/Upper Market,37.7626741714481,-122.43919495998337,Entire home/apt,250,2,23,2015-04-01,0.6,1,215
4882829,Private room in Inner Richmond,25118670,Coraly,,Inner Richmond,37.77899256458584,-122.46211056987129,Private room,89,2,1,2015-04-22,1,1,111
4850420,Edge of SOMA + the Mission ,1358761,Kelly,,South of Market,37.771447300839284,-122.41478171116769,Private room,164,1,0,,,1,111
1278848,Sunny Nob Hill 1 br (entire apt),6959333,Amanda,,Nob Hill,37.790745149035075,-122.41533401641193,Entire home/apt,170,2,11,2015-02-15,0.5,1,129
5068275,Huge & Sunny 1BR Loft ,350767,Michael,,Potrero Hill,37.75944905468306,-122.38944715451696,Entire home/apt,185,2,5,2015-03-29,1.7,1,9
2315086,"Pacific Heights, 2 rooms & parking!",11804983,Renee,,Pacific Heights,37.78757176562912,-122.44494761509908,Private room,135,3,55,2015-04-26,3.9,1,207
4839456,Single bed in a spacious loft,11186281,Rose & Team,,South of Market,37.780413248054465,-122.40647038800132,Shared room,70,3,0,,,12,348
3726164,"Cozy, Quite Studio in Nob Hill",11947801,Nilay,,Nob Hill,37.79259185209518,-122.42133055542239,Entire home/apt,125,15,0,,,1,254
4258257,Nob Hill Studio,20189284,Vanessa,,Nob Hill,37.79164786448525,-122.41363307448277,Entire home/apt,140,3,14,2015-04-24,2.0,1,289
4045632,Room with a Cable car view,20130105,Clark,,Nob Hill,37.79495196193368,-122.41219797168964,Private room,69,1,42,2015-04-27,5.2,3,238
472065,HOUSE BY UNION SQUARE/MOSCONE CENTE,2341144,Taso,,Downtown/Civic Center,37.78648564915675,-122.41244974306895,Entire home/apt,550,3,52,2015-04-26,1.5,1,222
325478,Luxury 2br flat near Dolores Park,1579337,Markus,,Mission,37.760654170558475,-122.42413536603497,Entire home/apt,350,4,42,2015-04-12,1.1,2,243
3354004,1 Bedroom North Beach SF,12265488,Pete,,Russian Hill,37.79759757236948,-122.40974382342941,Private room,100,2,0,,,1,365
1709713,Luxury modern home in Noe Valley,296831,Jennifer,,Noe Valley,37.74366215195723,-122.42976174124642,Entire home/apt,450,1,13,2015-04-26,0.7,1,135
3105361,Beautiful Condo in the Heart of SF,15396421,Breedeen,,Noe Valley,37.75229277677364,-122.43124596762833,Entire home/apt,225,1,18,2015-02-15,1.8,1,40
4768479,3 Bd with Priv Garden by Dolores Pk,16648327,Jovy,,Noe Valley,37.755448932152945,-122.42759758797105,Entire home/apt,550,3,1,2015-04-12,1,2,36
2935856,Convenient Bedroom in Noe Valley,1523300,Chloe,,Noe Valley,37.74553616165931,-122.42521058913977,Private room,75,2,14,2015-03-04,1.2,1,347
4416566,"Panoramic views,Luxurious Apartment",19935364,James,,Noe Valley,37.74639560106505,-122.43206102118172,Entire home/apt,189,1,0,,,2,270
1763420,Stunning 2 bed condo (Noe Valley),6030147,Robby,,Noe Valley,37.742993875685066,-122.4316957351537,Entire home/apt,150,2,1,2014-01-04,0.1,1,0
2578363,A Charming Noe Valley/ Mission Flat,10919331,Laura,,Noe Valley,37.752054435158506,-122.42897666657122,Entire home/apt,168,2,5,2015-03-29,0.7,1,359
4264469,Turn of century Victorian house,22137233,Kate,,Noe Valley,37.75377582136891,-122.44239259554978,Private room,99,1,2,2015-05-04,0.3,1,363
110941,Walk to 24th St. in Noe Valley!,569199,Anjal,,Noe Valley,37.749692845092994,-122.42632844536247,Entire home/apt,215,3,31,2015-04-09,0.7,2,249
730996,Stylish San Francisco Victorian ,3762896,Peter,,Noe Valley,37.748865611936345,-122.42743038917193,Private room,120,5,10,2014-02-24,0.3,1,360
898833,Private Rm in 1870s Edwardian House,4501070,Polina,,Noe Valley,37.744736436169966,-122.42730965254852,Private room,90,3,9,2014-11-23,0.4,1,250
5247898,Private room in Victorian House ,26932354,Ali,,Noe Valley,37.745980956520974,-122.42502941111425,Private room,140,1,0,,,1,62
5671939,Golden Gate Park at your doorstep,811377,Christie,,Golden Gate Park,37.77223559774459,-122.4800170084842,Entire home/apt,145,4,1,2015-04-21,1,2,45
5783585,2BR/1BA in Sunny House by the Beach,27014779,Norma,,Parkside,37.74365498655771,-122.4987409756423,Entire home/apt,199,2,0,,,3,24
255071,Union Square-A  warm cozy studio! ,1223992,Alefya,,Financial District,37.78993409614679,-122.4065913239525,Entire home/apt,170,2,17,2015-04-26,0.4,1,365
5242714,Luxury 2 Bd/2bath walk to Moscone,919364,Jeff,,Financial District,37.786052569626506,-122.39899486574075,Entire home/apt,300,3,4,2015-04-10,1.8,3,215
5173999,2 Penthouse Suites w/Expansive View,19131795,Heidi,,Ocean View,37.719291888466515,-122.45167647051234,Entire home/apt,158,3,2,2015-04-29,0.8,3,180
5717696,Little blue room ,24466896,Jiao,,Ocean View,37.71903654765206,-122.4675443611189,Shared room,100,1,0,,,1,365
892836,Brenda's Hilltop B&B,4613555,Brenda,,Ocean View,37.718323373358814,-122.46487937183527,Entire home/apt,120,3,65,2015-04-20,2.4,1,315
4531864,Charming Studio in the Mission,3926117,Matthew,,Mission,37.76706386803964,-122.42304311278028,Entire home/apt,100,1,2,2015-04-20,1.1,1,151
1160508,Family Friendly 3 bd Mission Home,2801755,Debolina,,Mission,37.75888043126173,-122.41780999825251,Entire home/apt,300,3,2,2013-08-02,0.1,1,150
3727061,Beautiful 3 bedroom apartment,6334749,Tim,,Mission,37.7551067848281,-122.41514792903101,Entire home/apt,425,1,29,2015-04-22,3.2,1,285
1009718,Great Apt. Near Jazz Club!,5013949,Vicki,,Mission,37.74974600300346,-122.41794177686658,Entire home/apt,165,1,130,2015-05-02,5.2,2,332
604948,Trendy Valencia Corridor Apartment,2834322,Sofia,,Mission,37.75341098452736,-122.42247981733817,Entire home/apt,169,2,112,2015-04-18,3.3,2,340
62651,GORGEOUS SAN FRANCISCO HOME,185923,Agnes,,Mission,37.762454996151355,-122.42432107362413,Entire home/apt,650,2,27,2015-02-09,0.6,2,358
2695877,Misión Amor ❤ ,1024867,Daz,,Mission,37.751264076178025,-122.41794609078559,Entire home/apt,92,3,60,2015-04-26,4.9,2,6
2108200,Super Central Sunny 1bdrm Apartment,3209334,Yelena,,Mission,37.770135768215965,-122.42494611958023,Entire home/apt,160,3,2,2015-04-17,0.6,1,186
2075954,Room in Beautiful Victorian House,320555,Karla,,Mission,37.74899030809283,-122.42273893417295,Private room,140,1,0,,,1,365
5524665,Mission Concourse 4 BR Apartment,27955772,Nick,,Mission,37.75834765330447,-122.41098217405013,Entire home/apt,388,3,3,2015-04-27,1.7,3,153
1665339,1Bd Sunlit & Beautiful Mission Apt,1091811,Sean,,Mission,37.75142589253351,-122.41642637602878,Entire home/apt,140,1,16,2014-09-30,0.8,22,0
1223107,Sunny Mission Condo Masterbedroom,6229756,Sharna,,Mission,37.75862867507109,-122.41178925636146,Private room,129,3,29,2015-03-08,1.3,2,336
6246035,Spacious Apt. in Mission Victorian,25136754,Daegan,,Mission,37.75119117801446,-122.42148909882152,Entire home/apt,168,1,0,,,3,10
428916,A Little Bit of SanFrancisco $349/d,1776403,Ken,,Mission,37.75632477656365,-122.40963060456244,Entire home/apt,349,1,1,2014-03-09,0.1,5,271
4637928,Weekend in the Mission,764158,Sabine,,Mission,37.750140951110126,-122.40924832484856,Private room,97,1,0,,,1,138
